day,mean,std
-83.0,-0.16769814857886697,2.945680856842309
-82.0,-0.19747108710441513,2.902543855295249
-81.0,-0.2487690781382201,2.9272746375600955
-80.0,-0.2576812914249982,2.937955506157665
-79.0,-0.32756284141830605,2.8917429284240894
-78.0,-0.3184432301961573,2.878865459427959
-77.0,-0.3431468986089724,2.796863379936013
-76.0,-0.2830637817954389,2.747434004935879
-75.0,-0.24984857476265987,2.7989743033831087
-74.0,-0.21879158716922553,2.738513880549523
-73.0,-0.16281890267666993,2.7098325828839505
-72.0,-0.12733111063830205,2.7494831741885064
-71.0,-0.0504820135105832,2.7288543770979268
-70.0,0.017508572757704094,2.660707838213464
-69.0,0.06791609865875295,2.620676893378685
-68.0,0.17099110199018802,2.662388772428467
-67.0,0.19360176815422356,2.607286831503329
-66.0,0.20562611612585657,2.6244537045309464
-65.0,0.2655974466146493,2.55358068271235
-64.0,0.2686135887446077,2.5443611190895257
-63.0,0.3298601003099881,2.57064316427218
-62.0,0.2766881459530212,2.5437401612887953
-61.0,0.18890014077775918,2.506946738973213
-60.0,0.1266504354751014,2.54860811524235
-59.0,0.009379430520757197,2.6125234503206913
-58.0,-0.10567351181832688,2.59250241099159
-57.0,-0.17304072675095467,2.5926958027799767
-56.0,-0.2513337178865767,2.622674281964326
-55.0,-0.3383866479613834,2.6220118872991325
-54.0,-0.38943428573228017,2.6291867963125384
-53.0,-0.44406133726656144,2.647626944139557
-52.0,-0.5145050789528759,2.596210720259021
-51.0,-0.5152574287222611,2.6053966188866
-50.0,-0.5147823961233489,2.563975989596137
-49.0,-0.5183606127818892,2.573099540618965
-48.0,-0.4193385947013469,2.5571598971802194
-47.0,-0.3028656668096662,2.569726432017165
-46.0,-0.2386841768792865,2.5601845008986066
-45.0,-0.11197215394751855,2.558576379977996
-44.0,0.004955264059418171,2.5370923499793436
-43.0,0.06942233589788026,2.5155849071366587
-42.0,0.12323378717607746,2.4559997817323627
-41.0,0.1910124641789299,2.4373295322908897
-40.0,0.27335660713583504,2.508006064309953
-39.0,0.3825029833509234,2.4898583704461177
-38.0,0.43148408144262,2.5037843158190505
-37.0,0.48544623315965557,2.561038863757535
-36.0,0.5127208807828619,2.590418968096094
-35.0,0.456853331782868,2.557694333724
-34.0,0.42773066020420514,2.580775218815133
-33.0,0.4184667200548852,2.6108073172366666
-32.0,0.33079562476149205,2.6407177137835935
-31.0,0.20996830850539078,2.647825114801626
-30.0,0.014730082252183922,2.660669047220425
-29.0,-0.13649808468380595,2.665501267810027
-28.0,-0.24839142172879294,2.6900934022965806
-27.0,-0.38867122042117697,2.694805703820524
-26.0,-0.512982126799971,2.6632742559146605
-25.0,-0.6691103457034276,2.6260432708047916
-24.0,-0.7961777547294447,2.569454362421822
-23.0,-0.8674974490937355,2.5695615119863615
-22.0,-0.8404837844150919,2.5300708571310437
-21.0,-0.7883830639513417,2.5484949771484553
-20.0,-0.6786396629970394,2.5855099850127474
-19.0,-0.5125993068566362,2.549118903553633
-18.0,-0.3222802615830299,2.5757575860489084
-17.0,-0.20889436927077223,2.6480935111616035
-16.0,-0.052349931609791116,2.6682125156364123
-15.0,0.08978083160679635,2.644385309451993
-14.0,0.28142731083366046,2.650745306161568
-13.0,0.4326753454895309,2.6820969977877733
-12.0,0.5809549433672659,2.6415811721500018
-11.0,0.7110608674091989,2.675745144855068
-10.0,0.7951592829490894,2.7153284340333146
-9.0,0.8287167177426756,2.7106247292338628
-8.0,0.8976483616934918,2.738624782807716
-7.0,0.8885969471758192,2.809580081153524
-6.0,0.8818318080640944,2.9050597043211233
-5.0,0.8298551295202303,2.944665232327594
-4.0,0.6174321887911762,2.974465569704749
-3.0,0.4223725533468706,2.9964980307338225
-2.0,0.19459891765634582,3.0038471010198813
-1.0,-0.10517404681554349,3.018816611604175
0.0,-0.3831039379956871,3.0452831834140883
1.0,-0.6050434202233175,3.079964507774967
2.0,-0.8845117346852202,3.0581668080120252
3.0,-1.0905690258225837,3.013324807481988
4.0,-1.2367076160314323,2.989340030303619
5.0,-1.2987994805838832,3.01213283284721
6.0,-1.2625267398585265,3.0304840369338586
7.0,-1.1829487426629721,3.043485696394318
8.0,-1.0589937365611568,3.098800599507673
9.0,-0.8232614717045557,3.104427353899736
10.0,-0.5993594495623801,3.1176048382736536
11.0,-0.42687369973793093,3.1337365264035526
12.0,-0.18301142290681893,3.1199244521284872
13.0,0.04035125570756414,3.1322328327704914
14.0,0.29203650429184685,3.1051939235202273
15.0,0.4949567859704329,3.1879712188685776
16.0,0.7367156746341431,3.21017588545266
17.0,0.905751239200959,3.2253366402603914
18.0,1.1107181439467213,3.2238832658567627
19.0,1.248670367635808,3.254520311972774
20.0,1.4222561830570528,3.1994524548169836
