,week,deep,light,rem,wake
0,-11.0,-0.6119736186865733,-0.47314300209059534,-0.22302810233623238,-0.18101474909886767
1,-10.0,-0.09753106467911099,-0.14275273482136422,-0.1011190669487355,0.0916543998063883
2,-9.0,-0.23008808200750513,-0.0373070802111175,-0.36706650397007545,0.16916055134545266
3,-8.0,-0.3639784561228255,-0.2604044511414361,-0.5422326578487631,-0.029282930597966807
4,-7.0,-0.48534015651799894,-0.3233608328400512,-0.39038675311421484,0.02036383575128864
5,-6.0,-0.10411690988290048,-1.382933271936392,-0.01278352272809795,-0.40450693409798394
6,-5.0,0.027171440904822156,-0.4196303352850905,-0.0670084962091045,-0.20959675743986744
7,-4.0,-0.34276002158318536,-0.6532845451939137,-0.5814429261093563,-0.2255705317885147
8,-3.0,0.07144686761139171,-1.2231080150314058,0.28676192968217357,-0.33976004741451094
9,-2.0,0.37796248020360756,-0.5470165666901634,-0.13415829368322363,-0.3434702521855477
10,-1.0,0.2668767176452875,-1.4446241623810923,-0.36756253012967777,-0.4992551439634885
11,0.0,-0.4722110308554645,-1.5047549916059217,-0.5180558729319961,-0.46657467087065513
12,1.0,-0.0001497014384316153,-0.5344032712480673,0.39964871584563494,-0.41060980849183865
13,2.0,0.1389698593342636,-1.7101718628055573,-0.047745907610719875,-0.980539982608797
14,3.0,0.5958241735690146,-1.2296978880076423,-0.28208474861453237,-0.663009863488775
15,4.0,-0.589428183817027,0.6012089997404763,-1.554253218039085,0.5272072739845781
16,5.0,-1.961983459972178,2.1499523091129653,-2.3897529098268255,2.254739679920992
17,6.0,-1.9921709631134101,9.836990687938835,-1.4410213794663218,4.515463768411997
18,7.0,-2.1438991852208438,17.874958674535083,-1.3301826838644324,6.1038387434865955
19,8.0,-3.5335418358676804,23.943962970210304,-2.7594495263107865,7.0690812111562344
20,9.0,-4.000396306396624,25.915228037495027,-2.3600528569798507,7.22960676442253
21,10.0,-3.61779035147574,25.547756467739042,-2.1746486821936366,6.893675935331102
22,11.0,-3.557164275330246,24.42047375632448,-2.0431056513831374,6.734783259911473
23,12.0,-3.3678939837733326,23.825663286539598,-2.0564174737730188,6.737406551167359
24,13.0,-3.2268605733378672,21.855828910711637,-1.253330104252067,6.297961267329288
25,14.0,-2.5838818802016235,22.09511348830345,-0.8689958900338232,5.966758126630202
26,15.0,-2.377813944565751,19.14805000871577,-0.4692932455788475,5.094415212185438
27,16.0,-2.790129527474489,18.712010485568165,-0.29910513205490435,5.259198662563764
28,17.0,-2.9867035227009824,16.747826987331397,0.22313021523915716,4.240082414132534
29,18.0,-3.4645498865565294,15.772952166757387,0.2822142566967247,4.052611639770624
30,19.0,-3.674874162598021,14.985139221797725,0.5578705379763211,3.7087623670233056
31,20.0,-4.529605509036173,14.428342316714392,-0.06949641968711044,3.6467891066268385
32,21.0,-5.119396411554447,14.34489717425584,-0.2141585505829173,3.5896471811114288
33,22.0,-6.128536650762111,13.82167345290742,-0.2778062021613056,3.5708822553282613
34,23.0,-6.850109920773781,14.433572610976004,-0.7124988125184096,3.628446686816532
35,24.0,-7.62730204574743,14.49955255020265,-0.8059169601856315,3.5056341873527894
36,25.0,-8.869744236676377,14.565953361856867,-1.5315137775333678,3.7810102045477905
37,26.0,-9.302224078832264,15.089791341748814,-1.513054807991092,3.905943365982469
38,27.0,-10.188506761271064,15.466028719197286,-2.537164231053704,3.8375913535308803
39,28.0,-11.042466799310471,14.969150820837651,-2.609752840709701,3.860991931090473
40,29.0,-11.799089790332687,15.733905141996464,-2.9656814728253442,4.162668422805882
41,30.0,-12.79195496551104,16.138969699056172,-3.2460019211994457,4.343326594940516
42,31.0,-13.726840478005773,16.61050686183551,-4.101269521642114,4.334196147594346
43,32.0,-14.83809352100832,16.353472601274152,-4.76692867920695,4.662086084146944
44,33.0,-15.289326906038216,15.708916678834445,-5.348102432077485,4.896711844039379
45,34.0,-16.434272907990273,14.798187475891663,-6.565886412811004,4.747497932100949
46,35.0,-17.247978490760836,15.649593113685057,-7.421513001572993,5.394533050466975
47,36.0,-18.49950553299727,14.26671137261833,-8.287389027148166,5.19256092252507
48,37.0,-19.157452886864956,13.364667726011207,-8.95747621502568,5.3855002592560055
49,38.0,-19.880599280268044,14.293788903252699,-8.835443949291964,5.774586499455005
